SW_score	perc_div	perc_del	perc_ins	query_seq	qpos_begin	qpos_end	q(left)	match	matching_repeat	repeat_class	rpos_begin	rpos_end	r(left)	ID	file	spec	reg_st	reg_en	rep_group
475	22.3	7.8	0.0	Me_chr2.fa	6693	6795	(43206)	+	MIRc	SINE/MIR	93	203	(65)	12	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
311	31.3	6.7	3.2	Me_chr2.fa	6955	7073	(42928)	C	L2a	LINE/L2	(0)	3426	3304	13	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
243	31.9	9.4	0.8	Me_chr2.fa	9616	9732	(40269)	C	L2a	LINE/L2	(4)	3422	3296	14	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
205	29.2	0.0	0.0	Me_chr2.fa	11645	11692	(38309)	+	L3	LINE/CR1	4045	4092	(7)	15	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
385	30.4	8.7	0.9	Me_chr2.fa	11868	12063	(37938)	C	L2d2	LINE/L2	(224)	3240	3030	16	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
507	30.9	1.9	0.0	Me_chr2.fa	12299	12473	(37528)	C	MIR3	SINE/MIR	(21)	187	14	17	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
255	36.0	5.2	2.5	Me_chr2.fa	12685	12875	(37126)	+	L2d	LINE/L2	2593	2788	(631)	18	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
228	29.3	0.0	0.0	Me_chr2.fa	12923	12980	(37021)	+	L2d	LINE/L2	2910	2967	(458)	18	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
272	26.1	2.3	0.0	Me_chr2.fa	13629	13716	(36285)	C	MamRep434	DNA/TcMar-Tigger	(7)	419	330	19	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
386	30.4	7.1	2.1	Me_chr2.fa	13718	13889	(36112)	C	L2d2	LINE/L2	(16)	3448	3206	20	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
292	16.2	0.0	0.0	Me_chr2.fa	14174	14327	(35674)	C	IMPB_01	Satellite	(2144)	404	251	21	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
204	32.3	8.4	2.6	Me_chr2.fa	15200	15342	(34659)	C	L2	LINE/L2	(2363)	1056	906	22	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
526	29.1	7.4	4.4	Me_chr2.fa	15344	15587	(34414)	+	MIRc	SINE/MIR	18	268	(0)	23	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
202	42.3	3.9	0.0	Me_chr2.fa	15792	15947	(34054)	C	L2	LINE/L2	(2912)	507	346	22	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
354	39.2	8.2	1.3	Me_chr2.fa	16271	16562	(33439)	C	L2d2	LINE/L2	(449)	2970	2659	20	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
313	29.3	16.1	3.4	Me_chr2.fa	17081	17391	(32610)	+	L2d2	LINE/L2	1325	1673	(1746)	24	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
351	20.7	0.0	3.3	Me_chr2.fa	17395	17489	(32512)	C	RLTR17B_Mm	LTR/ERVK	(357)	445	354	25	Tammar_foc.fasta.out	Tammar	478698693	479186192	LTR
579	20.1	1.4	8.8	Me_chr2.fa	17752	17898	(32103)	C	MIRc	SINE/MIR	(122)	146	10	26	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
723	20.4	1.4	0.0	Me_chr2.fa	17975	18116	(31885)	+	MIRc	SINE/MIR	3	146	(122)	27	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
729	33.4	13.6	1.6	Me_chr2.fa	18223	18842	(31159)	+	L2d2	LINE/L2	1919	2611	(808)	24	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
624	34.7	10.6	0.5	Me_chr2.fa	19049	19583	(30418)	+	L2d2	LINE/L2	2588	3196	(268)	24	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
266	34.1	1.2	1.2	Me_chr2.fa	19595	19677	(30324)	+	L2d2	LINE/L2	3272	3354	(33)	24	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
356	35.8	3.5	3.3	Me_chr2.fa	19724	20090	(29911)	+	Plat_L3	LINE/CR1	3195	3562	(11)	28	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
408	21.9	4.6	12.2	Me_chr2.fa	20096	20314	(29687)	C	MamRep434	DNA/TcMar-Tigger	(112)	314	111	19	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
291	22.2	0.8	19.5	Me_chr2.fa	21263	21396	(28605)	+	MIR	SINE/MIR	113	225	(37)	29	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
317	28.0	4.3	0.0	Me_chr2.fa	21432	21524	(28477)	+	L2a	LINE/L2	3330	3426	(0)	30	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
231	36.8	7.9	3.0	Me_chr2.fa	21667	21792	(28209)	C	MamRTE1	LINE/RTE-BovB	(1531)	2281	2150	31	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
478	27.5	5.4	1.7	Me_chr2.fa	22062	22205	(27796)	+	MIRc	SINE/MIR	2	148	(120)	32	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
394	21.4	17.1	2.0	Me_chr2.fa	22447	22575	(27426)	C	MIRc	SINE/MIR	(3)	265	118	33	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
207	21.1	0.0	0.0	Me_chr2.fa	28934	28971	(21030)	C	L2d	LINE/L2	(6)	3419	3382	34	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
236	27.3	4.5	0.0	Me_chr2.fa	28938	29003	(20998)	C	L2d2	LINE/L2	(8)	3456	3388	35	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
532	24.2	15.4	0.5	Me_chr2.fa	29047	29218	(20783)	C	MIR3	SINE/MIR	(3)	205	19	36	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
419	32.1	1.4	9.3	Me_chr2.fa	29290	29509	(20492)	+	L3	LINE/CR1	2703	2906	(1193)	37	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
807	32.8	9.8	6.4	Me_chr2.fa	29812	30660	(19341)	C	L3	LINE/CR1	(1167)	2932	2057	38	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
734	16.4	1.9	2.6	Me_chr2.fa	31562	31717	(18284)	+	Charlie4a	DNA/hAT-Charlie	354	508	(0)	39	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
255	15.0	0.0	0.0	Me_chr2.fa	31752	31791	(18210)	C	EutTc1-N1	DNA/TcMar-Tc1	(64)	524	485	40	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
326	8.9	0.0	0.0	Me_chr2.fa	31812	31856	(18145)	C	EutTc1-N1	DNA/TcMar-Tc1	(543)	45	1	40	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
533	13.4	19.7	0.0	Me_chr2.fa	32415	32541	(17460)	C	Charlie4a	DNA/hAT-Charlie	(0)	508	357	41	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
399	31.8	8.5	2.1	Me_chr2.fa	33371	33547	(16454)	+	MIR3	SINE/MIR	14	201	(7)	42	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
234	22.6	0.0	9.2	Me_chr2.fa	33587	33669	(16332)	C	RLTR17B_Mm	LTR/ERVK	(390)	412	337	43	Tammar_foc.fasta.out	Tammar	478698693	479186192	LTR
236	25.0	3.3	0.0	Me_chr2.fa	33686	33745	(16256)	+	CR1_Mam	LINE/CR1	1595	1656	(548)	44	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
430	30.0	3.8	0.2	Me_chr2.fa	33802	33942	(16059)	+	MIRb	SINE/MIR	39	176	(32)	45	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
299	31.0	0.0	10.1	Me_chr2.fa	34494	34641	(15360)	C	MIRb	SINE/MIR	(39)	169	45	46	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
299	39.7	0.6	0.0	Me_chr2.fa	34678	34833	(15168)	+	L2	LINE/L2	2683	2839	(580)	47	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
194	29.6	1.6	3.7	Me_chr2.fa	34840	34911	(15090)	C	L3b	LINE/CR1	(614)	3485	3424	48	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
398	33.1	11.7	0.0	Me_chr2.fa	35349	35502	(14499)	C	MIRc	SINE/MIR	(75)	193	22	49	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
271	14.9	6.4	0.0	Me_chr2.fa	35689	35735	(14266)	C	Charlie4a	DNA/hAT-Charlie	(5)	503	454	50	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
431	12.3	0.0	4.1	Me_chr2.fa	35757	35832	(14169)	C	Charlie4a	DNA/hAT-Charlie	(378)	130	58	41	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
901	28.2	1.6	1.6	Me_chr2.fa	36045	36300	(13701)	+	MIRc	SINE/MIR	5	260	(8)	51	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
359	34.5	11.6	2.6	Me_chr2.fa	36761	37010	(12991)	C	Tigger19a	DNA/TcMar-Tigger	(3)	320	49	52	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
216	27.7	3.1	0.0	Me_chr2.fa	37234	37298	(12703)	C	MIR3	SINE/MIR	(0)	208	142	53	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
308	21.9	6.9	4.8	Me_chr2.fa	38099	38199	(11802)	C	Charlie4a	DNA/hAT-Charlie	(0)	508	406	54	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
611	20.0	0.8	0.8	Me_chr2.fa	38180	38305	(11696)	C	Charlie4a	DNA/hAT-Charlie	(381)	127	2	54	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
565	18.8	0.0	3.6	Me_chr2.fa	38888	39003	(10998)	C	UCON33	DNA/TcMar-Tigger	(2)	318	207	55	Tammar_foc.fasta.out	Tammar	478698693	479186192	"Other
repeat"
392	23.5	16.2	0.3	Me_chr2.fa	39013	39179	(10822)	+	MIRc	SINE/MIR	2	197	(11)	56	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
263	33.0	4.7	0.9	Me_chr2.fa	41043	41149	(8852)	C	MIRc	SINE/MIR	(58)	210	100	57	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
531	30.3	12.6	1.6	Me_chr2.fa	41285	41633	(8368)	C	Mam_R4	LINE/Dong-R4	(136)	3673	3287	58	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
799	22.7	0.8	0.2	Me_chr2.fa	42401	42581	(7420)	C	MIRc	SINE/MIR	(21)	187	2	59	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
290	32.7	13.2	3.5	Me_chr2.fa	43175	43462	(6539)	C	L2c	LINE/L2	(3)	3384	3070	60	Tammar_foc.fasta.out	Tammar	478698693	479186192	LINE/L2
1301	31.8	12.0	3.1	Me_chr2.fa	43443	44194	(5807)	+	L3	LINE/CR1	2649	3465	(634)	61	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
247	20.4	0.0	3.4	Me_chr2.fa	46244	46304	(3697)	+	MIR	SINE/MIR	65	123	(139)	62	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
1161	26.2	6.1	2.2	Me_chr2.fa	47819	48212	(1789)	+	L5	LINE/RTE-X	1855	2263	(0)	63	Tammar_foc.fasta.out	Tammar	478698693	479186192	Oth. LINE
391	34.3	2.2	1.5	Me_chr2.fa	48392	48527	(1474)	C	MIR1_Amn	SINE/MIR	(76)	154	18	64	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
313	30.1	9.3	2.0	Me_chr2.fa	49619	49757	(244)	+	MIRc	SINE/MIR	7	155	(113)	65	Tammar_foc.fasta.out	Tammar	478698693	479186192	SINE
219	32.2	7.1	1.5	Mm_3.fa	171	296	(49705)	C	MIRb	SINE/MIR	(81)	187	55	1	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
344	25.1	5.0	5.0	Mm_3.fa	508	685	(49316)	+	RLTR17B_Mm	LTR/ERVK	254	431	(371)	2	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
762	33.9	1.0	0.3	Mm_3.fa	686	975	(49026)	C	B4A	SINE/B4	(0)	292	1	3	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
3792	15.0	15.2	2.0	Mm_3.fa	1234	2064	(47937)	C	RMER19B	LTR/ERVK	(0)	902	3	4	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
769	28.9	3.5	0.3	Mm_3.fa	2199	2483	(47518)	+	ERVL-int	LTR/ERVL	2497	2790	(2967)	5	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
288	26.5	1.9	4.8	Mm_3.fa	2775	2881	(47120)	C	DNM1r	Unknown	(2084)	2578	2475	6	Mouse_foc.fasta.out	Mouse	146350950	146689764	Prob.
332	17.0	1.1	1.1	Mm_3.fa	2813	2901	(47100)	C	RLTR17B_Mm	LTR/ERVK	(362)	440	352	7	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
528	25.4	3.0	0.8	Mm_3.fa	3441	3569	(46432)	+	MTE2b	LTR/ERVL-MaLR	1	132	(247)	8	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
1344	18.6	13.3	1.7	Mm_3.fa	3570	3892	(46109)	C	ORR1D1	LTR/ERVL-MaLR	(1)	373	14	9	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
865	20.7	12.2	1.6	Mm_3.fa	3897	4117	(45884)	+	MTE2b	LTR/ERVL-MaLR	136	379	(0)	8	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
521	29.3	7.5	0.9	Mm_3.fa	4406	4605	(45396)	C	B3	SINE/B2	(0)	216	4	10	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
3436	23.5	5.1	2.0	Mm_3.fa	4678	5619	(44382)	+	RCHARR1	DNA/hAT-Charlie	3	973	(1)	11	Mouse_foc.fasta.out	Mouse	146350950	146689764	"Other
repeat"
377	26.2	13.4	3.4	Mm_3.fa	6434	6619	(43382)	+	B4A	SINE/B4	1	204	(88)	12	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
275	12.7	0.0	1.4	Mm_3.fa	6664	6735	(43266)	+	IMPB_01	Satellite	11	81	(2467)	13	Mouse_foc.fasta.out	Mouse	146350950	146689764	"Other
repeat"
2663	15.9	1.5	0.0	Mm_3.fa	6811	7219	(42782)	C	MTC	LTR/ERVL-MaLR	(2)	419	5	14	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
241	34.3	9.3	0.5	Mm_3.fa	8224	8428	(41573)	C	MLT1A	LTR/ERVL-MaLR	(72)	302	80	15	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
528	23.9	10.4	3.6	Mm_3.fa	9201	9382	(40619)	+	B3A	SINE/B2	5	198	(0)	16	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
672	26.5	14.8	2.3	Mm_3.fa	9557	10023	(39978)	C	L1M5	LINE/L1	(1306)	4840	4317	17	Mouse_foc.fasta.out	Mouse	146350950	146689764	Oth. LINE
248	30.1	3.1	4.4	Mm_3.fa	10081	10151	(39850)	+	RLTR17B_Mm	LTR/ERVK	248	314	(488)	18	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
759	27.3	10.9	0.0	Mm_3.fa	10152	10407	(39594)	C	B4A	SINE/B4	(8)	284	1	19	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
248	30.1	3.1	4.4	Mm_3.fa	10408	10495	(39506)	+	RLTR17B_Mm	LTR/ERVK	315	404	(398)	18	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
330	18.9	2.2	0.0	Mm_3.fa	10428	10517	(39484)	C	RLTR17B_Mm	LTR/ERVK	(367)	435	360	20	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
1113	25.8	6.0	3.0	Mm_3.fa	10544	10942	(39059)	+	L1MA6	LINE/L1	4807	5243	(900)	21	Mouse_foc.fasta.out	Mouse	146350950	146689764	Oth. LINE
4844	11.7	3.7	0.8	Mm_3.fa	10972	11747	(38254)	+	RMER12C	LTR/ERVK	1	799	(570)	22	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
711	17.9	13.2	6.6	Mm_3.fa	11767	11994	(38007)	+	RMER12C	LTR/ERVK	958	1199	(123)	22	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
1006	16.4	0.6	2.8	Mm_3.fa	12210	12391	(37610)	+	RMER12	LTR/ERVK	1145	1322	(0)	23	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
1434	24.4	12.7	1.0	Mm_3.fa	12397	12961	(37040)	+	L1MA6	LINE/L1	5215	5851	(449)	21	Mouse_foc.fasta.out	Mouse	146350950	146689764	Oth. LINE
1088	26.6	4.0	2.3	Mm_3.fa	12962	13332	(36669)	+	MTE2a	LTR/ERVL-MaLR	3	370	(0)	24	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
362	24.9	17.4	1.9	Mm_3.fa	13335	13616	(36385)	+	L1MA6	LINE/L1	5858	6182	(118)	21	Mouse_foc.fasta.out	Mouse	146350950	146689764	Oth. LINE
1247	4.8	0.0	2.1	Mm_3.fa	13698	13845	(36156)	C	B1_Mm	SINE/Alu	(1)	146	2	25	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
380	30.1	13.5	4.5	Mm_3.fa	13931	14591	(35410)	+	L1ME1	LINE/L1	5354	6071	(108)	26	Mouse_foc.fasta.out	Mouse	146350950	146689764	Oth. LINE
301	19.4	0.0	0.0	Mm_3.fa	15852	15965	(34036)	C	IMPB_01	Satellite	(2144)	114	1	27	Mouse_foc.fasta.out	Mouse	146350950	146689764	"Other
repeat"
598	26.5	0.0	4.3	Mm_3.fa	16187	16286	(33715)	C	B1_Mur2	SINE/Alu	(9)	140	41	28	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
3198	3.2	0.0	0.0	Mm_3.fa	16287	16632	(33369)	+	ORR1A0	LTR/ERVL-MaLR	1	346	(0)	29	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
598	26.5	0.0	4.3	Mm_3.fa	16633	16677	(33324)	C	B1_Mur2	SINE/Alu	(109)	40	2	28	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
1313	5.9	0.6	1.2	Mm_3.fa	17369	17540	(32461)	+	B2_Mm1t	SINE/B2	2	172	(21)	30	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
434	25.9	10.6	3.6	Mm_3.fa	18033	18240	(31761)	C	MLT1D	LTR/ERVL-MaLR	(158)	347	126	31	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
1102	6.5	5.7	1.4	Mm_3.fa	20609	20749	(29252)	+	B1_Mus2	SINE/Alu	1	147	(0)	32	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
293	25.9	4.7	6.8	Mm_3.fa	22255	22279	(27722)	C	B4A	SINE/B4	(48)	244	99	33	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
631	20.2	4.0	0.0	Mm_3.fa	22280	22403	(27598)	C	B1_Mus2	SINE/Alu	(5)	142	14	34	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
1681	13.1	1.8	6.2	Mm_3.fa	22601	22885	(27116)	C	Lx4B	LINE/L1	(7)	7051	6779	35	Mouse_foc.fasta.out	Mouse	146350950	146689764	Oth. LINE
524	21.1	6.5	4.1	Mm_3.fa	22913	22933	(27068)	C	MER34D	LTR/ERV1	(5)	574	552	36	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
2356	11.5	10.7	0.0	Mm_3.fa	22934	23289	(26712)	C	ORR1B1	LTR/ERVL-MaLR	(0)	394	1	37	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
524	21.1	6.5	4.1	Mm_3.fa	23290	23435	(26566)	C	MER34D	LTR/ERV1	(28)	551	404	36	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
589	30.5	10.7	0.6	Mm_3.fa	23465	23754	(26247)	C	MER34D	LTR/ERV1	(260)	319	1	36	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
271	30.6	6.5	2.3	Mm_3.fa	23775	23898	(26103)	+	MIR	SINE/MIR	89	217	(45)	38	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
195	26.9	4.6	5.8	Mm_3.fa	24044	24130	(25871)	C	L2c	LINE/L2	(11)	3376	3291	39	Mouse_foc.fasta.out	Mouse	146350950	146689764	LINE/L2
646	22.1	4.4	0.0	Mm_3.fa	28310	28445	(21556)	+	B1_Mur1	SINE/Alu	3	144	(5)	40	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
295	32.6	10.4	0.0	Mm_3.fa	28590	28724	(21277)	C	MIR	SINE/MIR	(89)	173	25	41	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
294	29.1	12.4	6.8	Mm_3.fa	30111	30320	(19681)	+	B4	SINE/B4	20	240	(52)	42	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
327	20.0	0.0	0.0	Mm_3.fa	30416	30475	(19526)	+	PB1D10	SINE/Alu	9	68	(49)	43	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
242	28.9	7.9	0.0	Mm_3.fa	31744	31819	(18182)	C	L2d2	LINE/L2	(25)	3439	3358	44	Mouse_foc.fasta.out	Mouse	146350950	146689764	LINE/L2
645	22.0	4.1	1.1	Mm_3.fa	32922	33091	(16910)	C	URR1A	DNA/hAT-Charlie	(6)	220	46	45	Mouse_foc.fasta.out	Mouse	146350950	146689764	"Other
repeat"
1072	20.0	3.7	0.0	Mm_3.fa	34959	35148	(14853)	+	B3	SINE/B2	1	197	(19)	46	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
617	26.2	13.7	0.6	Mm_3.fa	35321	35481	(14520)	C	B3A	SINE/B2	(16)	182	1	47	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
283	26.8	12.4	7.7	Mm_3.fa	35994	36179	(13822)	+	L2	LINE/L2	1194	1387	(2032)	48	Mouse_foc.fasta.out	Mouse	146350950	146689764	LINE/L2
587	28.2	8.0	1.2	Mm_3.fa	36448	36673	(13328)	C	ORR1F	LTR/ERVL-MaLR	(16)	375	135	49	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
436	22.5	7.3	3.2	Mm_3.fa	36727	36905	(13096)	+	RLTR17B_Mm	LTR/ERVK	266	451	(351)	50	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
1000	27.4	7.2	3.3	Mm_3.fa	36951	37354	(12647)	+	MTD	LTR/ERVL-MaLR	1	419	(0)	51	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
6259	13.8	1.6	0.0	Mm_3.fa	37650	38595	(11406)	+	Lx2	LINE/L1	6037	6997	(0)	52	Mouse_foc.fasta.out	Mouse	146350950	146689764	Oth. LINE
1052	8.8	0.7	0.7	Mm_3.fa	39623	39760	(10241)	C	B1_Mus2	SINE/Alu	(9)	138	1	53	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
2308	17.1	14.9	9.7	Mm_3.fa	40903	41485	(8516)	C	RMER19C	LTR/ERVK	(0)	611	1	54	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
590	28.9	2.7	0.7	Mm_3.fa	41781	41930	(8071)	C	Tigger5b_Glire	DNA/TcMar-Tigger	(162)	191	39	55	Mouse_foc.fasta.out	Mouse	146350950	146689764	"Other
repeat"
1159	7.0	1.4	0.0	Mm_3.fa	42780	42921	(7080)	C	B1_Mur4	SINE/Alu	(5)	145	2	56	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
2796	1.6	0.0	0.3	Mm_3.fa	43184	43490	(6511)	+	L1MdF_II	LINE/L1	6274	6579	(0)	57	Mouse_foc.fasta.out	Mouse	146350950	146689764	Oth. LINE
1160	4.3	0.7	0.0	Mm_3.fa	44783	44923	(5078)	C	B1_Mus2	SINE/Alu	(0)	147	6	58	Mouse_foc.fasta.out	Mouse	146350950	146689764	SINE
895	12.5	1.5	0.0	Mm_3.fa	44804	44939	(5062)	C	ORR1B1-int	LTR/ERVL-MaLR	(737)	772	635	59	Mouse_foc.fasta.out	Mouse	146350950	146689764	LTR
6737	11.5	3.0	2.1	Mm_3.fa	46170	47460	(2541)	C	Lx2B	LINE/L1	(972)	6028	4737	60	Mouse_foc.fasta.out	Mouse	146350950	146689764	Oth. LINE
794	23.7	20.0	2.1	Mm_3.fa	47465	47874	(2127)	+	L1MC3	LINE/L1	6715	7196	(589)	61	Mouse_foc.fasta.out	Mouse	146350950	146689764	Oth. LINE
